Month,Product ,US,Canada,EMEA,LAAP,Total
Jul-20,Accessories & Equipment ,8990,5487,2926,1430,18833
Aug-20,Accessories & Equipment ,9486,5366,2394,1258,18504
Sep-20,Accessories & Equipment ,8749,5948,2943,1353,18993
Oct-20,Accessories & Equipment ,6203,4516,2947,1296,14962
Nov-20,Accessories & Equipment ,7375,4858,2838,1406,16477
Dec-20,Accessories & Equipment ,7819,5529,2156,1485,16989
Jan-21,Accessories & Equipment ,7348,4951,2169,1261,15729
Feb-21,Accessories & Equipment ,6775,5278,2153,1386,15592
Mar-21,Accessories & Equipment ,8966,4851,2965,1421,18203
Apr-21,Accessories & Equipment ,8988,4667,2127,1287,17069
May-21,Accessories & Equipment ,8635,5844,2697,1494,18670
Jun-21,Accessories & Equipment ,9470,5514,2975,1472,19431
Jul-21,Accessories & Equipment ,5638,5090,2903,1476,15107
Aug-21,Accessories & Equipment ,7302,4596,2379,1344,15621
Sep-21,Accessories & Equipment ,7499,4850,2405,1285,16039
Oct-21,Accessories & Equipment ,6919,5889,2361,1456,16625
Nov-21,Accessories & Equipment ,7761,4829,2042,1313,15945
Dec-21,Accessories & Equipment ,8213,4550,2978,1279,17020
Jan-22,Accessories & Equipment ,7405,5484,2061,1274,16224
Feb-22,Accessories & Equipment ,6371,5818,2499,1375,16063
Mar-22,Accessories & Equipment ,6550,4737,2414,1416,15117
Apr-22,Accessories & Equipment ,6016,5200,2484,1325,15025
May-22,Accessories & Equipment ,6230,4964,2515,1487,15196
Jun-22,Accessories & Equipment ,5933,5831,2841,1277,15882
Jul-22,Accessories & Equipment ,8274,5481,2039,1337,17131
Aug-22,Accessories & Equipment ,7434,5826,2716,1400,17376
Sep-22,Accessories & Equipment ,5611,5511,2158,1410,14690
Oct-22,Accessories & Equipment ,6327,5207,2770,1448,15752
Nov-22,Accessories & Equipment ,8058,4522,2438,1295,16313
Dec-22,Accessories & Equipment ,8688,5740,2786,1444,18658
Jan-23,Accessories & Equipment ,6497,5361,2561,1377,15796
Feb-23,Accessories & Equipment ,8141,4750,2544,1461,16896
Mar-23,Accessories & Equipment ,8561,5938,2189,1364,18052
Apr-23,Accessories & Equipment ,7469,5953,2364,1475,17261
May-23,Accessories & Equipment ,7865,5235,2483,1337,16920
Jun-23,Accessories & Equipment ,7127,4801,2497,1454,15879
Jul-23,Accessories & Equipment ,7465,4631,2942,1410,16448
Aug-23,Accessories & Equipment ,6966,4590,2646,1437,15639
Jan-10,FootWear ,24620,14734,6624,2922,48900
Feb-10,FootWear ,24532,14616,6885,2867,48900
Mar-10,FootWear ,24959,14589,6933,2922,49403
Apr-10,FootWear ,24848,14779,6906,2912,49445
May-10,FootWear ,24532,14859,6975,2874,49240
Jun-10,FootWear ,24584,14677,6827,2954,49042
Jul-10,FootWear ,24780,14832,6519,2870,49001
Aug-10,FootWear ,24916,14639,6552,2920,49027
Sep-10,FootWear ,24511,14899,6631,2948,48989
Oct-10,FootWear ,24655,14660,6602,2915,48832
Nov-10,FootWear ,24954,14558,6852,2896,49260
Dec-10,FootWear ,24631,14929,6863,2939,49362
Jan-11,FootWear ,24754,14699,6640,2896,48989
Feb-11,FootWear ,24655,14937,6705,2955,49252
Mar-11,FootWear ,24653,14674,6772,2911,49010
Apr-11,FootWear ,24674,14598,6851,2979,49102
May-11,FootWear ,24696,14691,6647,2909,48943
Jun-11,FootWear ,24913,14627,6647,2981,49168
Jul-11,FootWear ,24680,14855,6915,2989,49439
Aug-11,FootWear ,24625,14876,6754,2860,49115
Sep-11,FootWear ,24868,14951,6874,2890,49583
Oct-11,FootWear ,24870,14803,6546,2907,49126
Nov-11,FootWear ,24658,14941,6517,2925,49041
Dec-11,FootWear ,24633,14506,6982,2989,49110
Jan-12,FootWear ,24684,14909,6813,2899,49305
Feb-12,FootWear ,24612,14781,6868,2999,49260
Mar-12,FootWear ,24676,14948,6625,2990,49239
Apr-12,FootWear ,24640,14790,6989,2961,49380
May-12,FootWear ,24947,14632,6840,2967,49386
Jun-12,FootWear ,24956,14906,6903,2917,49682
Jul-12,FootWear ,24643,14880,6915,2970,49408
Aug-12,FootWear ,24914,14973,6562,2957,49406
Sep-12,FootWear ,24561,14793,6620,2880,48854
Oct-12,FootWear ,24837,14744,6654,2976,49211
Nov-12,FootWear ,24553,14806,6670,2875,48904
Dec-12,FootWear ,24706,14880,6808,2964,49358
Jan-13,FootWear ,24805,14762,6555,2873,48995
Feb-13,FootWear ,24755,14886,6566,2898,49105
Mar-13,FootWear ,24888,14665,6872,2974,49399
Apr-13,FootWear ,24539,14970,6880,2936,49325
May-13,FootWear ,24949,14954,6711,2946,49560
Jun-13,FootWear ,24680,14797,6972,2966,49415
Jul-13,FootWear ,24545,14670,6932,2930,49077
Aug-13,FootWear ,24919,14939,6637,2935,49430
Sep-13,FootWear ,24607,14613,6833,3000,49053
Oct-13,FootWear ,24568,14820,6713,2929,49030
Nov-13,FootWear ,24658,14535,6863,2995,49051
Dec-13,FootWear ,24564,14987,6658,2965,49174
Jan-14,FootWear ,24864,14769,6949,2896,49478
Feb-14,FootWear ,24668,14881,6675,2968,49192
Mar-14,FootWear ,24556,14570,6517,2933,48576
Apr-14,FootWear ,24972,14871,6537,2981,49361
May-14,FootWear ,24892,14865,6865,2906,49528
Jun-14,FootWear ,24817,14607,6663,2892,48979
Jul-14,FootWear ,24878,14840,6773,2990,49481
Aug-14,FootWear ,24709,14782,6950,2941,49382
Sep-14,FootWear ,24517,14996,6950,2919,49382
Oct-14,FootWear ,24836,14828,6782,2950,49396
Nov-14,FootWear ,24794,14754,6827,2882,49257
Dec-14,FootWear ,24755,14975,6879,2980,49589
Jan-15,FootWear ,24841,14630,6870,2941,49282
Feb-15,FootWear ,24678,14945,6576,2860,49059
Mar-15,FootWear ,24507,14721,6646,2976,48850
Apr-15,FootWear ,24772,14562,6806,2933,49073
May-15,FootWear ,24594,14793,6807,2997,49191
Jun-15,FootWear ,24570,14715,6766,2991,49042
Jul-15,FootWear ,24507,14972,6998,2930,49407
Aug-15,FootWear ,24622,14897,6863,2908,49290
Sep-15,FootWear ,24655,14755,6961,2989,49360
Oct-15,FootWear ,24528,14514,6985,2872,48899
Nov-15,FootWear ,24955,14551,6822,2988,49316
Dec-15,FootWear ,24957,14786,6815,2924,49482
Jan-16,FootWear ,24568,14662,6848,2987,49065
Feb-16,FootWear ,24716,14971,6702,2903,49292
Mar-16,FootWear ,24935,14936,6900,2950,49721
Apr-16,FootWear ,24674,14915,6601,2894,49084
May-16,FootWear ,24932,14554,6647,2923,49056
Jun-16,FootWear ,24984,14500,6608,2914,49006
Jul-16,FootWear ,24595,14872,6855,2933,49255
Aug-16,FootWear ,24785,14688,6545,2851,48869
Sep-16,FootWear ,24890,14518,6641,2955,49004
Oct-16,FootWear ,24801,14649,6797,2921,49168
Nov-16,FootWear ,24629,14772,6795,2928,49124
Dec-16,FootWear ,24626,14522,6997,2873,49018
Jan-17,FootWear ,24590,14977,6745,2930,49242
Feb-17,FootWear ,24667,14919,6537,2994,49117
Mar-17,FootWear ,24966,14620,6998,2879,49463
Apr-17,FootWear ,24748,14961,6778,2919,49406
May-17,FootWear ,24638,14554,6948,2897,49037
Jun-17,FootWear ,24793,14634,6890,2980,49297
Jul-17,FootWear ,24551,14816,6761,2933,49061
Aug-17,FootWear ,24510,14529,6685,2906,48630
Sep-17,FootWear ,24741,14650,6629,2926,48946
Oct-17,FootWear ,24543,14986,6768,2885,49182
Nov-17,FootWear ,24902,14621,6714,2929,49166
Dec-17,FootWear ,24913,14728,6911,2867,49419
Jan-18,FootWear ,24836,14577,6950,2927,49290
Feb-18,FootWear ,24920,14815,6692,2905,49332
Mar-18,FootWear ,24703,14707,6579,2934,48923
Apr-18,FootWear ,24916,14584,6573,2891,48964
May-18,FootWear ,24883,14897,6684,2988,49452
Jun-18,FootWear ,24980,14753,6872,2979,49584
Jul-18,FootWear ,24911,14657,6755,2912,49235
Aug-18,FootWear ,24913,14753,6648,2968,49282
Sep-18,FootWear ,24859,14512,6852,2895,49118
Oct-18,FootWear ,24599,14918,6593,2876,48986
Nov-18,FootWear ,24549,14657,6719,2960,48885
Dec-18,FootWear ,24616,14786,6554,2889,48845
Jan-19,FootWear ,24526,14786,6709,2923,48944
Feb-19,FootWear ,24886,14971,6527,2939,49323
Mar-19,FootWear ,24967,14548,6550,2861,48926
Apr-19,FootWear ,24669,14831,6574,2919,48993
May-19,FootWear ,24742,14675,6799,2958,49174
Jun-19,FootWear ,24895,14515,6702,2872,48984
Jul-19,FootWear ,24966,14736,6680,2988,49370
Aug-19,FootWear ,24572,14579,6543,2885,48579
Sep-19,FootWear ,24849,14819,6506,2990,49164
Oct-19,FootWear ,24876,14559,6923,2979,49337
Nov-19,FootWear ,24614,14941,6690,2970,49215
Dec-19,FootWear ,24515,14882,6849,2962,49208
Jan-20,FootWear ,24729,14962,6969,2973,49633
Feb-20,FootWear ,24887,14837,6767,2850,49341
Mar-20,FootWear ,24642,14634,6851,2851,48978
Apr-20,FootWear ,24505,14506,6736,2884,48631
May-20,FootWear ,24757,14811,6802,2960,49330
Jun-20,FootWear ,24894,14747,6753,2918,49312
Jul-20,FootWear ,24657,14554,6722,2961,48894
Aug-20,FootWear ,24606,14864,6683,2867,49020
Sep-20,FootWear ,24831,14820,6575,2888,49114
Oct-20,FootWear ,24863,14500,6829,2960,49152
Nov-20,FootWear ,24683,14789,6683,2978,49133
Dec-20,FootWear ,24881,14906,6714,2921,49422
Jan-21,FootWear ,24571,14743,6909,2935,49158
Feb-21,FootWear ,24639,14637,6895,2874,49045
Mar-21,FootWear ,24673,14937,6911,2956,49477
Apr-21,FootWear ,24879,14859,6823,2939,49500
May-21,FootWear ,24711,14645,6782,2967,49105
Jun-21,FootWear ,24817,14955,6801,2865,49438
Jul-21,FootWear ,24910,14903,6635,2882,49330
Aug-21,FootWear ,24542,14838,6631,2880,48891
Sep-21,FootWear ,24673,14767,6545,2949,48934
Oct-21,FootWear ,24882,14578,6893,2994,49347
Nov-21,FootWear ,24632,14581,6927,2878,49018
Dec-21,FootWear ,24848,14863,6764,2981,49456
Jan-22,FootWear ,24699,14859,6859,2904,49321
Feb-22,FootWear ,24937,14502,6818,2940,49197
Mar-22,FootWear ,24650,14939,6647,2957,49193
Apr-22,FootWear ,24630,14539,6695,2877,48741
May-22,FootWear ,24892,14549,6582,2918,48941
Jun-22,FootWear ,24553,14958,6974,2917,49402
Jul-22,FootWear ,24724,14600,6828,2895,49047
Aug-22,FootWear ,24764,14595,6706,2871,48936
Sep-22,FootWear ,24838,14672,6647,2971,49128
Oct-22,FootWear ,24674,14699,6633,2999,49005
Nov-22,FootWear ,24864,14671,6750,2925,49210
Dec-22,FootWear ,24918,14717,6708,2998,49341
Jan-23,FootWear ,24927,14607,6682,2935,49151
Feb-23,FootWear ,24950,14522,6958,2970,49400
Mar-23,FootWear ,24525,14858,6809,2940,49132
Apr-23,FootWear ,24956,14644,6900,2961,49461
May-23,FootWear ,24965,14736,6632,2868,49201
Jun-23,FootWear ,24929,14784,6982,2968,49663
Jul-23,FootWear ,24544,14872,6838,2935,49189
Aug-23,FootWear ,24953,14740,6749,2889,49331
Jan-10,OuterWear,12245,8284,9748,2270,32547
Feb-10,OuterWear,10252,9038,9386,1518,30194
Mar-10,OuterWear,13411,9505,8789,2229,33934
Apr-10,OuterWear,14417,10879,9439,1551,36286
May-10,OuterWear,12831,11435,8439,2263,34968
Jun-10,OuterWear,14162,10050,9341,2532,36085
Jul-10,OuterWear,10186,10640,9563,1591,31980
Aug-10,OuterWear,11137,10676,8763,2095,32671
Sep-10,OuterWear,13649,8124,9369,2384,33526
Oct-10,OuterWear,13860,11842,9189,2870,37761
Nov-10,OuterWear,12256,10638,9847,1534,34275
Dec-10,OuterWear,10664,11511,9143,1927,33245
Jan-11,OuterWear,10832,8354,8944,1963,30093
Feb-11,OuterWear,13494,10651,9717,2141,36003
Mar-11,OuterWear,12333,9833,8185,2961,33312
Apr-11,OuterWear,11493,10982,9136,2922,34533
May-11,OuterWear,12338,8637,9344,2828,33147
Jun-11,OuterWear,10352,8832,9865,2875,31924
Jul-11,OuterWear,14494,8364,9553,2728,35139
Aug-11,OuterWear,13335,8685,9170,1504,32694
Sep-11,OuterWear,14852,8695,8039,1750,33336
Oct-11,OuterWear,13813,11267,8892,2605,36577
Nov-11,OuterWear,13146,10586,9291,1972,34995
Dec-11,OuterWear,12963,9142,9705,1531,33341
Jan-12,OuterWear,11394,11293,8153,2294,33134
Feb-12,OuterWear,10140,11543,8916,2474,33073
Mar-12,OuterWear,11869,10570,9889,2826,35154
Apr-12,OuterWear,14132,10816,8350,2643,35941
May-12,OuterWear,10540,10904,9992,1619,33055
Jun-12,OuterWear,13629,8275,8880,2368,33152
Jul-12,OuterWear,13443,8630,8092,1794,31959
Aug-12,OuterWear,13841,10747,8838,2924,36350
Sep-12,OuterWear,13238,8942,9349,2935,34464
Oct-12,OuterWear,14797,9167,8173,2287,34424
Nov-12,OuterWear,14847,8663,8099,2619,34228
Dec-12,OuterWear,11715,11846,8340,2373,34274
Jan-13,OuterWear,12256,9870,9312,2969,34407
Feb-13,OuterWear,11155,10692,8965,2508,33320
Mar-13,OuterWear,13152,9214,9835,2621,34822
Apr-13,OuterWear,11668,8284,9190,2533,31675
May-13,OuterWear,13755,10559,8933,2341,35588
Jun-13,OuterWear,10282,9640,9371,2276,31569
Jul-13,OuterWear,14251,10783,8683,2423,36140
Aug-13,OuterWear,13174,10440,9335,2803,35752
Sep-13,OuterWear,13484,10792,9049,2929,36254
Oct-13,OuterWear,12949,10035,8458,1906,33348
Nov-13,OuterWear,10256,11311,9046,2685,33298
Dec-13,OuterWear,14024,11324,8224,1858,35430
Jan-14,OuterWear,12429,8517,8656,2460,32062
Feb-14,OuterWear,14365,8073,8636,1829,32903
Mar-14,OuterWear,13048,9589,9329,2970,34936
Apr-14,OuterWear,11717,10735,9104,2669,34225
May-14,OuterWear,10931,8212,8288,2170,29601
Jun-14,OuterWear,10151,9493,8023,2035,29702
Jul-14,OuterWear,11845,11961,8717,2040,34563
Aug-14,OuterWear,12693,10866,9065,1777,34401
Sep-14,OuterWear,11904,10894,9500,1767,34065
Oct-14,OuterWear,10251,8141,9351,2622,30365
Nov-14,OuterWear,11869,9733,8802,2794,33198
Dec-14,OuterWear,12716,11772,8584,1988,35060
Jan-15,OuterWear,12020,9193,9297,1688,32198
Feb-15,OuterWear,10186,10720,9851,2523,33280
Mar-15,OuterWear,13811,10873,8485,2110,35279
Apr-15,OuterWear,10185,9609,9353,1801,30948
May-15,OuterWear,11930,10223,9145,2738,34036
Jun-15,OuterWear,11248,10408,9936,2622,34214
Jul-15,OuterWear,10061,9598,9265,1563,30487
Aug-15,OuterWear,14474,11461,9478,2192,37605
Sep-15,OuterWear,10828,11136,9685,2125,33774
Oct-15,OuterWear,10842,11715,9718,2313,34588
Nov-15,OuterWear,10282,10951,8623,2461,32317
Dec-15,OuterWear,14889,10783,9094,2990,37756
Jan-16,OuterWear,10811,9334,9985,1907,32037
Feb-16,OuterWear,14777,11250,8283,2851,37161
Mar-16,OuterWear,12422,9313,9008,2365,33108
Apr-16,OuterWear,10654,10319,8421,2851,32245
May-16,OuterWear,13976,10469,9960,2057,36462
Jun-16,OuterWear,11572,8725,9045,1769,31111
Jul-16,OuterWear,12226,9103,9240,2396,32965
Aug-16,OuterWear,13963,9896,9658,2783,36300
Sep-16,OuterWear,13845,11364,9561,2768,37538
Oct-16,OuterWear,13438,9403,9058,2319,34218
Nov-16,OuterWear,12092,9756,8394,2669,32911
Dec-16,OuterWear,14252,9602,9385,2024,35263
Jan-17,OuterWear,10895,8862,9095,2441,31293
Feb-17,OuterWear,14836,10864,9772,1725,37197
Mar-17,OuterWear,11018,9657,9153,2532,32360
Apr-17,OuterWear,12476,10669,8721,2740,34606
May-17,OuterWear,12039,8839,8409,2829,32116
Jun-17,OuterWear,10144,10945,8799,2419,32307
Jul-17,OuterWear,11751,8029,9537,2715,32032
Aug-17,OuterWear,12681,11676,8737,2695,35789
Sep-17,OuterWear,13041,11208,8983,2497,35729
Oct-17,OuterWear,14350,11758,8714,2792,37614
Nov-17,OuterWear,11510,10326,9365,1824,33025
Dec-17,OuterWear,13685,8789,8711,2225,33410
Jan-18,OuterWear,14134,9752,8351,2058,34295
Feb-18,OuterWear,10749,8176,9202,2639,30766
Mar-18,OuterWear,14357,9614,8188,1780,33939
Apr-18,OuterWear,10708,11166,9498,1547,32919
May-18,OuterWear,14417,10601,9016,2808,36842
Jun-18,OuterWear,14731,11934,9197,2041,37903
Jul-18,OuterWear,14607,10522,9704,2288,37121
Aug-18,OuterWear,14964,11767,9780,1521,38032
Sep-18,OuterWear,13323,8520,8582,2018,32443
Oct-18,OuterWear,14634,10867,8543,1728,35772
Nov-18,OuterWear,10387,11467,8370,2293,32517
Dec-18,OuterWear,14307,9823,9599,2136,35865
Jan-19,OuterWear,10679,10564,8484,1608,31335
Feb-19,OuterWear,10337,11147,8772,1562,31818
Mar-19,OuterWear,13994,9195,9301,1572,34062
Apr-19,OuterWear,14494,11758,9414,1715,37381
May-19,OuterWear,14858,11553,8595,2642,37648
Jun-19,OuterWear,12440,9254,8383,2888,32965
Jul-19,OuterWear,11529,11035,8789,1581,32934
Aug-19,OuterWear,10013,10968,9897,1971,32849
Sep-19,OuterWear,13320,8646,8975,2326,33267
Oct-19,OuterWear,11662,8551,9740,2448,32401
Nov-19,OuterWear,11474,10412,9586,1571,33043
Dec-19,OuterWear,13095,9442,8881,2738,34156
Jan-20,OuterWear,14173,9319,9392,1717,34601
Feb-20,OuterWear,14353,9942,9599,2175,36069
Mar-20,OuterWear,13293,8995,9200,2511,33999
Apr-20,OuterWear,10616,8925,8280,1954,29775
May-20,OuterWear,12920,8422,8505,2751,32598
Jun-20,OuterWear,13109,9947,9955,1854,34865
Jul-20,OuterWear,10043,8445,9418,2678,30584
Aug-20,OuterWear,12424,10875,9359,2860,35518
Sep-20,OuterWear,13681,8235,9326,2361,33603
Oct-20,OuterWear,14708,8038,8654,1906,33306
Nov-20,OuterWear,11429,9189,8457,1508,30583
Dec-20,OuterWear,13107,9376,9878,1963,34324
Jan-21,OuterWear,10220,10769,9837,1742,32568
Feb-21,OuterWear,10010,9070,8496,2715,30291
Mar-21,OuterWear,14621,9503,8908,1637,34669
Apr-21,OuterWear,12976,10367,9081,1646,34070
May-21,OuterWear,12903,10785,8428,1854,33970
Jun-21,OuterWear,10185,9621,8872,1774,30452
Jul-21,OuterWear,12210,9241,8477,2493,32421
Aug-21,OuterWear,14306,11742,8989,2698,37735
Sep-21,OuterWear,12023,8274,9953,2840,33090
Oct-21,OuterWear,12583,9636,9243,1507,32969
Nov-21,OuterWear,12307,10834,9575,1892,34608
Dec-21,OuterWear,14497,11322,9037,2084,36940
Jan-22,OuterWear,13217,8053,8372,2365,32007
Feb-22,OuterWear,14100,9221,9379,1770,34470
Mar-22,OuterWear,10279,8280,9375,1731,29665
Apr-22,OuterWear,13005,9810,9114,2223,34152
May-22,OuterWear,10461,10562,8294,2569,31886
Jun-22,OuterWear,11449,8960,9501,2122,32032
Jul-22,OuterWear,11977,8082,8733,1783,30575
Aug-22,OuterWear,13263,10661,9499,1971,35394
Sep-22,OuterWear,12480,9427,9576,1983,33466
Oct-22,OuterWear,11170,8479,8337,1664,29650
Nov-22,OuterWear,12233,9413,8662,2179,32487
Dec-22,OuterWear,13344,10988,8493,2927,35752
Jan-23,OuterWear,12569,10090,9342,2864,34865
Feb-23,OuterWear,11093,9668,9524,1937,32222
Mar-23,OuterWear,10866,11836,8805,2204,33711
Apr-23,OuterWear,13034,8405,9752,2577,33768
May-23,OuterWear,11706,11002,9605,1517,33830
