Month,US,Canada,EMEA,LAAP,Total
Jan-14,24864,14769,6949,2896,49478
Feb-14,24668,14881,6675,2968,49192
Mar-14,24556,14570,6517,2933,48576
Apr-14,24972,14871,6537,2981,49361
May-14,24892,14865,6865,2906,49528
Jun-14,24817,14607,6663,2892,48979
Jul-14,24878,14840,6773,2990,49481
Aug-14,24709,14782,6950,2941,49382
Sep-14,24517,14996,6950,2919,49382
Oct-14,24836,14828,6782,2950,49396
Nov-14,24794,14754,6827,2882,49257
Dec-14,24755,14975,6879,2980,49589
Jan-15,24841,14630,6870,2941,49282
Feb-15,24678,14945,6576,2860,49059
Mar-15,24507,14721,6646,2976,48850
Apr-15,24772,14562,6806,2933,49073
May-15,24594,14793,6807,2997,49191
Jun-15,24570,14715,6766,2991,49042
Jul-15,24507,14972,6998,2930,49407
Aug-15,24622,14897,6863,2908,49290
Sep-15,24655,14755,6961,2989,49360
Oct-15,24528,14514,6985,2872,48899
Nov-15,24955,14551,6822,2988,49316
Dec-15,24957,14786,6815,2924,49482
Jan-16,24568,14662,6848,2987,49065
Feb-16,24716,14971,6702,2903,49292
Mar-16,24935,14936,6900,2950,49721
Apr-16,24674,14915,6601,2894,49084
May-16,24932,14554,6647,2923,49056
Jun-16,24984,14500,6608,2914,49006
Jul-16,24595,14872,6855,2933,49255
Aug-16,24785,14688,6545,2851,48869
Sep-16,24890,14518,6641,2955,49004
Oct-16,24801,14649,6797,2921,49168
Nov-16,24629,14772,6795,2928,49124
Dec-16,24626,14522,6997,2873,49018
Jan-17,24590,14977,6745,2930,49242
Feb-17,24667,14919,6537,2994,49117
Mar-17,24966,14620,6998,2879,49463
Apr-17,24748,14961,6778,2919,49406
May-17,24638,14554,6948,2897,49037
Jun-17,24793,14634,6890,2980,49297
Jul-17,24551,14816,6761,2933,49061
Aug-17,24510,14529,6685,2906,48630
Sep-17,24741,14650,6629,2926,48946
Oct-17,24543,14986,6768,2885,49182
Nov-17,24902,14621,6714,2929,49166
Dec-17,24913,14728,6911,2867,49419
Jan-18,24836,14577,6950,2927,49290
Feb-18,24920,14815,6692,2905,49332
Mar-18,24703,14707,6579,2934,48923
Apr-18,24916,14584,6573,2891,48964
May-18,24883,14897,6684,2988,49452
Jun-18,24980,14753,6872,2979,49584
Jul-18,24911,14657,6755,2912,49235
Aug-18,24913,14753,6648,2968,49282
Sep-18,24859,14512,6852,2895,49118
Oct-18,24599,14918,6593,2876,48986
Nov-18,24549,14657,6719,2960,48885
Dec-18,24616,14786,6554,2889,48845
Jan-19,24526,14786,6709,2923,48944
Feb-19,24886,14971,6527,2939,49323
Mar-19,24967,14548,6550,2861,48926
Apr-19,24669,14831,6574,2919,48993
May-19,24742,14675,6799,2958,49174
Jun-19,24895,14515,6702,2872,48984
Jul-19,24966,14736,6680,2988,49370
Aug-19,24572,14579,6543,2885,48579
Sep-19,24849,14819,6506,2990,49164
Oct-19,24876,14559,6923,2979,49337
Nov-19,24614,14941,6690,2970,49215
Dec-19,24515,14882,6849,2962,49208
Jan-20,24729,14962,6969,2973,49633
Feb-20,24887,14837,6767,2850,49341
Mar-20,24642,14634,6851,2851,48978
Apr-20,24505,14506,6736,2884,48631
May-20,24757,14811,6802,2960,49330
Jun-20,24894,14747,6753,2918,49312
Jul-20,24657,14554,6722,2961,48894
Aug-20,24606,14864,6683,2867,49020
Sep-20,24831,14820,6575,2888,49114
Oct-20,24863,14500,6829,2960,49152
Nov-20,24683,14789,6683,2978,49133
Dec-20,24881,14906,6714,2921,49422
Jan-21,24571,14743,6909,2935,49158
Feb-21,24639,14637,6895,2874,49045
Mar-21,24673,14937,6911,2956,49477
Apr-21,24879,14859,6823,2939,49500
May-21,24711,14645,6782,2967,49105
Jun-21,24817,14955,6801,2865,49438
Jul-21,24910,14903,6635,2882,49330
Aug-21,24542,14838,6631,2880,48891
Sep-21,24673,14767,6545,2949,48934
Oct-21,24882,14578,6893,2994,49347
Nov-21,24632,14581,6927,2878,49018
Dec-21,24848,14863,6764,2981,49456
Jan-22,24699,14859,6859,2904,49321
Feb-22,24937,14502,6818,2940,49197
Mar-22,24650,14939,6647,2957,49193
Apr-22,24630,14539,6695,2877,48741
May-22,24892,14549,6582,2918,48941
Jun-22,24553,14958,6974,2917,49402
Jul-22,24724,14600,6828,2895,49047
Aug-22,24764,14595,6706,2871,48936
Sep-22,24838,14672,6647,2971,49128
Oct-22,24674,14699,6633,2999,49005
Nov-22,24864,14671,6750,2925,49210
Dec-22,24918,14717,6708,2998,49341
Jan-23,24927,14607,6682,2935,49151
Feb-23,24950,14522,6958,2970,49400
Mar-23,24525,14858,6809,2940,49132
Apr-23,24956,14644,6900,2961,49461
May-23,24965,14736,6632,2868,49201
Jun-23,24929,14784,6982,2968,49663
Jul-23,24544,14872,6838,2935,49189
Aug-23,24953,14740,6749,2889,49331
